,0,1,2,3,4,5,6,7
0,Month,Weekday,Second,Days from solstice,Temperature,Precipitation,Solar irradiance,KWH supplied
210,10,1,61200,73,18.8,0.0,322.0,42.06256600159981
211,10,1,64800,73,20.2,0.0,326.0,42.52049952001951
212,10,1,68400,73,22.1,0.0,575.0,34.2469686878753
213,10,1,72000,73,23.1,0.0,635.0,39.0450670944153
214,10,1,75600,73,23.4,0.0,673.0,34.1487163250082
215,10,1,79200,73,23.2,0.0,591.0,30.207496191349787
216,10,1,82800,73,22.5,0.0,452.0,22.132566956210518
217,10,2,0,72,21.4,0.0,276.0,14.718937303176865
218,10,2,3600,72,19.7,0.0,96.0,11.298314624709914
219,10,2,7200,72,18.1,0.0,3.0,15.788431527265299
220,10,2,10800,72,16.9,0.0,0.0,12.383747726489476
221,10,2,14400,72,15.8,0.0,0.0,3.9253006571655793
222,10,2,18000,72,15.1,0.0,0.0,4.7471031243725585
223,10,2,21600,72,14.6,0.0,0.0,1.706813550687723
224,10,2,25200,72,14.8,0.0,0.0,1.706813550687723
225,10,2,28800,72,14.6,0.0,0.0,1.706813550687723
226,10,2,32400,72,14.2,0.0,0.0,1.706813550687723
227,10,2,36000,72,14.0,0.0,0.0,1.706813550687723
228,10,2,39600,72,14.1,0.0,0.0,1.706813550687723
229,10,2,43200,72,14.1,0.0,0.0,1.706813550687723
230,10,2,46800,72,14.1,0.0,0.0,0.7519461920529802
231,10,2,50400,72,14.2,0.0,0.0,0.25257582252706035
232,10,2,54000,72,14.5,0.0,15.0,15.092750305764337
233,10,2,57600,72,15.6,0.0,47.0,35.8047997654952
234,10,2,61200,72,17.2,0.0,220.0,50.60833989299091
235,10,2,64800,72,18.3,0.0,201.0,56.998721984077456
236,10,2,68400,72,19.8,0.0,418.0,44.28827066665167
237,10,2,72000,72,20.8,0.0,490.0,35.07160132853246
238,10,2,75600,72,21.5,0.0,498.0,25.485144351283505
239,10,2,79200,72,22.0,0.0,570.0,12.437765443774014
240,10,2,82800,72,21.5,0.0,435.0,2.886356093610325
241,10,3,0,71,20.2,0.0,252.0,0.7562552891396331
242,10,3,3600,71,18.9,0.0,81.0,1.7213140295436171
243,10,3,7200,71,17.4,0.0,2.0,4.415200957060248
244,10,3,10800,71,16.4,0.0,0.0,12.613926769849614
245,10,3,14400,71,15.6,0.0,0.0,14.492385758796024
246,10,3,18000,71,14.8,0.0,0.0,1.9912007910459764
247,10,3,21600,71,14.7,0.0,0.0,6.566970840880396
248,10,3,25200,71,14.9,0.0,0.0,10.556002930141801
249,10,3,28800,71,15.0,0.0,0.0,8.054097986618258
250,10,3,32400,71,14.9,0.0,0.0,7.67103886970466
251,10,3,36000,71,14.9,0.0,0.0,7.67103886970466
252,10,3,39600,71,14.8,0.0,0.0,7.67103886970466
253,10,3,43200,71,14.7,0.0,0.0,7.67103886970466
254,10,3,46800,71,14.5,0.0,0.0,5.319744457245427
255,10,3,50400,71,14.3,0.0,0.0,0.3652858873200513
256,10,3,54000,71,14.7,0.0,26.0,18.40942610487464
257,10,3,57600,71,15.6,0.0,64.0,40.930916893302346
258,10,3,61200,71,16.9,0.0,158.0,41.478832481335644
259,10,3,64800,71,18.1,0.0,161.0,27.797650819902216
260,10,3,68400,71,20.4,0.0,468.0,23.225758742730683
261,10,3,72000,71,21.5,0.0,353.0,12.97968004851585
262,10,3,75600,71,22.6,0.0,496.0,11.315605934434297
263,10,3,79200,71,23.1,0.0,494.0,24.072094561967962
264,10,3,82800,71,22.8,0.0,388.0,19.89646550906422
265,10,4,0,70,21.7,0.0,265.0,12.198869607160336
266,10,4,3600,70,19.9,0.0,86.0,3.761002360268061
267,10,4,7200,70,18.2,0.0,2.0,4.616411049123686
268,10,4,10800,70,17.3,0.0,0.0,0.0
269,10,4,14400,70,16.5,0.0,0.0,0.0
270,10,4,18000,70,15.6,0.0,0.0,0.0
271,10,4,21600,70,14.8,0.0,0.0,0.0
272,10,4,25200,70,14.1,0.0,0.0,0.0
273,10,4,28800,70,13.5,0.0,0.0,0.0
274,10,4,32400,70,13.0,0.0,0.0,0.0
275,10,4,36000,70,12.5,0.0,0.0,0.0
276,10,4,39600,70,12.3,0.0,0.0,0.0
277,10,4,43200,70,12.0,0.0,0.0,0.0
278,10,4,46800,70,12.1,0.0,0.0,0.0
279,10,4,50400,70,12.1,0.0,0.0,0.4856558577405858
280,10,4,54000,70,14.2,0.0,49.0,2.125028205035765
281,10,4,57600,70,19.6,0.0,208.0,8.204358177598962
282,10,4,61200,70,23.0,0.0,394.0,14.095944260948757
283,10,4,64800,70,24.9,0.0,541.0,13.974079263410475
284,10,4,68400,70,26.6,0.0,647.0,12.584091332148184
285,10,4,72000,70,28.0,0.0,693.0,15.103322472728761
286,10,4,75600,70,28.7,0.0,638.0,17.441337774753876
287,10,4,79200,70,28.3,0.0,503.0,11.855037408741502
288,10,4,82800,70,27.2,0.0,405.0,9.203113649358027
289,10,5,0,69,25.9,0.0,179.0,8.520807338150087
290,10,5,3600,69,23.8,0.0,67.0,8.378156420189041
291,10,5,7200,69,21.5,0.0,1.0,7.3740584664490445
292,10,5,10800,69,19.3,0.0,0.0,0.21800937274693583
293,10,5,14400,69,17.8,0.0,0.0,0.0
294,10,5,18000,69,16.8,0.0,0.0,0.0
295,10,5,21600,69,16.6,0.0,0.0,0.0
296,10,5,25200,69,16.6,0.8,0.0,0.0
297,10,5,28800,69,16.2,1.0,0.0,0.0
298,10,5,32400,69,16.0,1.0,0.0,0.0
299,10,5,36000,69,15.9,0.4,0.0,0.0
300,10,5,39600,69,15.8,0.1,0.0,0.0
301,10,5,43200,69,15.8,0.0,0.0,0.0
302,10,5,46800,69,15.8,0.1,0.0,0.0
303,10,5,50400,69,15.8,0.3,0.0,0.0
304,10,5,54000,69,16.1,0.6,1.0,0.0
305,10,5,57600,69,16.6,0.8,8.0,0.0
306,10,5,61200,69,16.8,0.9,44.0,4.125570939194976
307,10,5,64800,69,17.1,1.6,26.0,7.7451201429564485
308,10,5,68400,69,16.4,0.8,46.0,6.634727060128787
309,10,5,72000,69,17.1,0.5,76.0,3.1815818577197885
310,10,5,75600,69,17.5,0.4,66.0,4.650038600525624
311,10,5,79200,69,18.0,0.2,69.0,7.491655716162944
312,10,5,82800,69,18.8,0.0,206.0,8.68402794114344
313,10,6,0,68,18.7,0.0,175.0,6.770960272843929
314,10,6,3600,68,17.0,0.0,53.0,2.2753103056954394
315,10,6,7200,68,16.0,0.0,1.0,2.2753103056954394
316,10,6,10800,68,15.5,0.0,0.0,0.13843703416562303
317,10,6,14400,68,15.2,0.0,0.0,6.037008811621814
318,10,6,18000,68,14.8,0.0,0.0,6.037008811621814
319,10,6,21600,68,14.4,0.0,0.0,1.8882422005239345
320,10,6,25200,68,14.6,0.0,0.0,0.0
321,10,6,28800,68,14.3,0.0,0.0,0.0
322,10,6,32400,68,14.3,0.0,0.0,0.0
323,10,6,36000,68,14.3,0.0,0.0,0.0
324,10,6,39600,68,14.4,0.0,0.0,0.0
325,10,6,43200,68,14.3,0.0,0.0,0.0
326,10,6,46800,68,14.2,0.0,0.0,0.0
327,10,6,50400,68,14.1,0.0,0.0,0.0
328,10,6,54000,68,14.3,0.0,14.0,5.230437400598739
329,10,6,57600,68,15.5,0.0,54.0,30.672987007686903
330,10,6,61200,68,16.9,0.0,196.0,47.94700245766911
331,10,6,64800,68,18.3,0.0,224.0,50.30042017565862
332,10,6,68400,68,20.0,0.0,292.0,39.30840796029537
333,10,6,72000,68,21.1,0.0,205.0,35.47914306632677
334,10,6,75600,68,22.4,0.0,486.0,35.037574792894006
335,10,6,79200,68,22.2,0.0,433.0,29.984455863063296
336,10,6,82800,68,21.7,0.0,435.0,27.424345629195145
337,10,0,0,67,20.4,0.0,239.0,15.6121431661585
338,10,0,3600,67,19.5,0.0,77.0,14.295051970324458
339,10,0,7200,67,17.9,0.0,1.0,9.296230853889828
340,10,0,10800,67,16.9,0.0,0.0,1.9217996562392576
341,10,0,14400,67,16.0,0.0,0.0,0.0
342,10,0,18000,67,15.2,0.0,0.0,0.0
343,10,0,21600,67,14.5,0.0,0.0,0.0
344,10,0,25200,67,14.7,0.0,0.0,0.0
345,10,0,28800,67,14.0,0.0,0.0,0.0
346,10,0,32400,67,13.4,0.0,0.0,0.0
347,10,0,36000,67,13.0,0.0,0.0,0.0
348,10,0,39600,67,12.7,0.0,0.0,0.0
349,10,0,43200,67,12.4,0.0,0.0,0.0
350,10,0,46800,67,12.2,0.0,0.0,0.0
351,10,0,50400,67,12.2,0.0,0.0,0.7554452501570897
352,10,0,54000,67,13.5,0.0,49.0,17.01951201170285
353,10,0,57600,67,16.7,0.0,215.0,32.563193942801476
354,10,0,61200,67,18.8,0.0,421.0,46.904013182610704
355,10,0,64800,67,20.2,0.0,583.0,37.86583244742181
356,10,0,68400,67,22.3,0.0,685.0,28.086040429860564
357,10,0,72000,67,23.0,0.0,728.0,31.542484851657136
358,10,0,75600,67,23.4,0.0,702.0,32.71998845559774
359,10,0,79200,67,23.6,0.0,611.0,25.133498230288456
360,10,0,82800,67,23.4,0.0,462.0,16.124217788906254
361,10,1,0,66,22.7,0.0,276.0,5.928224516187768
362,10,1,3600,66,21.5,0.0,87.0,1.2596623834719074
363,10,1,7200,66,20.2,0.0,1.0,2.1255691431561963
364,10,1,10800,66,15.7,0.0,0.0,3.0476277372262777
365,10,1,14400,66,12.8,0.0,0.0,0.6306896289537712
366,10,1,18000,66,11.4,0.0,0.0,1.1034609895894256
367,10,1,21600,66,10.7,0.0,0.0,3.3326003041291377
368,10,1,25200,66,10.5,0.0,0.0,3.3326003041291377
369,10,1,28800,66,10.1,0.0,0.0,3.3326003041291377
370,10,1,32400,66,9.8,0.0,0.0,3.3326003041291377
371,10,1,36000,66,9.5,0.0,0.0,1.3941377938940225
372,10,1,39600,66,9.1,0.0,0.0,0.0
373,10,1,43200,66,8.9,0.0,0.0,0.0
374,10,1,46800,66,8.7,0.0,0.0,0.0
375,10,1,50400,66,8.5,0.0,0.0,0.050718081893948545
376,10,1,54000,66,9.7,0.0,48.0,7.495227072082864
377,10,1,57600,66,14.8,0.0,216.0,38.890656529697054
378,10,1,61200,66,20.9,0.0,403.0,47.38550171625576
379,10,1,64800,66,23.1,0.0,557.0,43.14548292895897
380,10,1,68400,66,25.0,0.0,662.0,31.80519060707756
381,10,1,72000,66,26.2,0.0,702.0,46.62502292848472
382,10,1,75600,66,26.8,0.0,677.0,40.721271802352454
383,10,1,79200,66,27.1,0.0,588.0,20.165752088035234
384,10,1,82800,66,27.0,0.0,444.0,6.452015236441902
385,10,2,0,65,26.4,0.0,262.0,5.134880926176373
386,10,2,3600,65,24.1,0.0,80.0,23.615676867934557
387,10,2,7200,65,22.4,0.0,1.0,28.628723337150145
388,10,2,10800,65,20.1,0.0,0.0,12.344848793063289
389,10,2,14400,65,17.1,0.0,0.0,3.894806765309674
390,10,2,18000,65,14.9,0.0,0.0,2.0508207945900256
391,10,2,21600,65,13.4,0.0,0.0,0.0
392,10,2,25200,65,12.4,0.0,0.0,0.0
393,10,2,28800,65,11.7,0.0,0.0,0.0
394,10,2,32400,65,11.1,0.0,0.0,0.0
395,10,2,36000,65,10.6,0.0,0.0,0.0
396,10,2,39600,65,10.3,0.0,0.0,0.0
397,10,2,43200,65,10.2,0.0,0.0,0.0
398,10,2,46800,65,10.2,0.0,0.0,0.0
399,10,2,50400,65,10.2,0.0,0.0,0.04253215077605321
400,10,2,54000,65,11.5,0.0,44.0,10.75856467282712
401,10,2,57600,65,16.9,0.0,204.0,31.50272316753039
402,10,2,61200,65,22.9,0.0,389.0,48.94106783616452
403,10,2,64800,65,24.7,0.0,541.0,46.422992230263006
404,10,2,68400,65,26.0,0.0,641.0,39.10934864882547
405,10,2,72000,65,27.0,0.0,682.0,31.0534305759038
406,10,2,75600,65,27.8,0.0,657.0,23.89349201828925
